*font-awesome.txt*  Nerd Font Cheatsheets - Font Awesome

===============================================================================
																*font-awesome*
Nerd Font - Font Awesome ~

| Decimal | Unicode | Glyph |
| 61701   | \uf105  |      | *nerdfont-61701* *nerdfont-uf105* *nerdfont-*
| 61702   | \uf106  |      | *nerdfont-61702* *nerdfont-uf106* *nerdfont-*
| 61703   | \uf107  |      | *nerdfont-61703* *nerdfont-uf107* *nerdfont-*
| 61704   | \uf108  |      | *nerdfont-61704* *nerdfont-uf108* *nerdfont-*
| 61705   | \uf109  |      | *nerdfont-61705* *nerdfont-uf109* *nerdfont-*
| 61706   | \uf10a  |      | *nerdfont-61706* *nerdfont-uf10a* *nerdfont-*
| 61707   | \uf10b  |      | *nerdfont-61707* *nerdfont-uf10b* *nerdfont-*
| 61708   | \uf10c  |      | *nerdfont-61708* *nerdfont-uf10c* *nerdfont-*
| 61709   | \uf10d  |      | *nerdfont-61709* *nerdfont-uf10d* *nerdfont-*
| 61710   | \uf10e  |      | *nerdfont-61710* *nerdfont-uf10e* *nerdfont-*
| 61712   | \uf110  |      | *nerdfont-61712* *nerdfont-uf110* *nerdfont-*
| 61713   | \uf111  |      | *nerdfont-61713* *nerdfont-uf111* *nerdfont-*
| 61714   | \uf112  |      | *nerdfont-61714* *nerdfont-uf112* *nerdfont-*
| 61715   | \uf113  |      | *nerdfont-61715* *nerdfont-uf113* *nerdfont-*
| 61716   | \uf114  |      | *nerdfont-61716* *nerdfont-uf114* *nerdfont-*
| 61717   | \uf115  |      | *nerdfont-61717* *nerdfont-uf115* *nerdfont-*
| 61720   | \uf118  |      | *nerdfont-61720* *nerdfont-uf118* *nerdfont-*
| 61721   | \uf119  |      | *nerdfont-61721* *nerdfont-uf119* *nerdfont-*
| 61722   | \uf11a  |      | *nerdfont-61722* *nerdfont-uf11a* *nerdfont-*
| 61723   | \uf11b  |      | *nerdfont-61723* *nerdfont-uf11b* *nerdfont-*
