*devicons.txt*  Nerd Font Cheatsheets - Devicons

===============================================================================
																	*devicons*
Nerd Font - Devicons ~

| Decimal | Unicode | Glyph |
| 59276   | \ue78c  |      | *nerdfont-59276* *nerdfont-ue78c* *nerdfont-*
| 59277   | \ue78d  |      | *nerdfont-59277* *nerdfont-ue78d* *nerdfont-*
| 59278   | \ue78e  |      | *nerdfont-59278* *nerdfont-ue78e* *nerdfont-*
| 59279   | \ue78f  |      | *nerdfont-59279* *nerdfont-ue78f* *nerdfont-*
| 59280   | \ue790  |      | *nerdfont-59280* *nerdfont-ue790* *nerdfont-*
| 59281   | \ue791  |      | *nerdfont-59281* *nerdfont-ue791* *nerdfont-*
| 59282   | \ue792  |      | *nerdfont-59282* *nerdfont-ue792* *nerdfont-*
| 59283   | \ue793  |      | *nerdfont-59283* *nerdfont-ue793* *nerdfont-*
| 59284   | \ue794  |      | *nerdfont-59284* *nerdfont-ue794* *nerdfont-*
| 59285   | \ue795  |      | *nerdfont-59285* *nerdfont-ue795* *nerdfont-*
| 59286   | \ue796  |      | *nerdfont-59286* *nerdfont-ue796* *nerdfont-*
| 59287   | \ue797  |      | *nerdfont-59287* *nerdfont-ue797* *nerdfont-*
| 59288   | \ue798  |      | *nerdfont-59288* *nerdfont-ue798* *nerdfont-*
| 59289   | \ue799  |      | *nerdfont-59289* *nerdfont-ue799* *nerdfont-*
| 59290   | \ue79a  |      | *nerdfont-59290* *nerdfont-ue79a* *nerdfont-*
| 59291   | \ue79b  |      | *nerdfont-59291* *nerdfont-ue79b* *nerdfont-*
| 59292   | \ue79c  |      | *nerdfont-59292* *nerdfont-ue79c* *nerdfont-*
| 59293   | \ue79d  |      | *nerdfont-59293* *nerdfont-ue79d* *nerdfont-*
| 59294   | \ue79e  |      | *nerdfont-59294* *nerdfont-ue79e* *nerdfont-*
| 59295   | \ue79f  |      | *nerdfont-59295* *nerdfont-ue79f* *nerdfont-*
| 59296   | \ue7a0  |      | *nerdfont-59296* *nerdfont-ue7a0* *nerdfont-*
| 59297   | \ue7a1  |      | *nerdfont-59297* *nerdfont-ue7a1* *nerdfont-*
| 59298   | \ue7a2  |      | *nerdfont-59298* *nerdfont-ue7a2* *nerdfont-*
| 59299   | \ue7a3  |      | *nerdfont-59299* *nerdfont-ue7a3* *nerdfont-*
| 59300   | \ue7a4  |      | *nerdfont-59300* *nerdfont-ue7a4* *nerdfont-*
| 59301   | \ue7a5  |      | *nerdfont-59301* *nerdfont-ue7a5* *nerdfont-*
| 59302   | \ue7a6  |      | *nerdfont-59302* *nerdfont-ue7a6* *nerdfont-*
| 59303   | \ue7a7  |      | *nerdfont-59303* *nerdfont-ue7a7* *nerdfont-*
| 59304   | \ue7a8  |      | *nerdfont-59304* *nerdfont-ue7a8* *nerdfont-*
| 59305   | \ue7a9  |      | *nerdfont-59305* *nerdfont-ue7a9* *nerdfont-*
| 59306   | \ue7aa  |      | *nerdfont-59306* *nerdfont-ue7aa* *nerdfont-*
| 59307   | \ue7ab  |      | *nerdfont-59307* *nerdfont-ue7ab* *nerdfont-*
| 59308   | \ue7ac  |      | *nerdfont-59308* *nerdfont-ue7ac* *nerdfont-*
| 59309   | \ue7ad  |      | *nerdfont-59309* *nerdfont-ue7ad* *nerdfont-*
| 59310   | \ue7ae  |      | *nerdfont-59310* *nerdfont-ue7ae* *nerdfont-*
| 59311   | \ue7af  |      | *nerdfont-59311* *nerdfont-ue7af* *nerdfont-*
| 59312   | \ue7b0  |      | *nerdfont-59312* *nerdfont-ue7b0* *nerdfont-*
| 59313   | \ue7b1  |      | *nerdfont-59313* *nerdfont-ue7b1* *nerdfont-*
| 59314   | \ue7b2  |      | *nerdfont-59314* *nerdfont-ue7b2* *nerdfont-*
| 59315   | \ue7b3  |      | *nerdfont-59315* *nerdfont-ue7b3* *nerdfont-*
| 59316   | \ue7b4  |      | *nerdfont-59316* *nerdfont-ue7b4* *nerdfont-*
| 59317   | \ue7b5  |      | *nerdfont-59317* *nerdfont-ue7b5* *nerdfont-*
| 59318   | \ue7b6  |      | *nerdfont-59318* *nerdfont-ue7b6* *nerdfont-*
| 59319   | \ue7b7  |      | *nerdfont-59319* *nerdfont-ue7b7* *nerdfont-*
| 59320   | \ue7b8  |      | *nerdfont-59320* *nerdfont-ue7b8* *nerdfont-*
| 59321   | \ue7b9  |      | *nerdfont-59321* *nerdfont-ue7b9* *nerdfont-*
| 59322   | \ue7ba  |      | *nerdfont-59322* *nerdfont-ue7ba* *nerdfont-*
| 59323   | \ue7bb  |      | *nerdfont-59323* *nerdfont-ue7bb* *nerdfont-*
| 59324   | \ue7bc  |      | *nerdfont-59324* *nerdfont-ue7bc* *nerdfont-*
| 59325   | \ue7bd  |      | *nerdfont-59325* *nerdfont-ue7bd* *nerdfont-*
| 59326   | \ue7be  |      | *nerdfont-59326* *nerdfont-ue7be* *nerdfont-*
| 59327   | \ue7bf  |      | *nerdfont-59327* *nerdfont-ue7bf* *nerdfont-*
| 59328   | \ue7c0  |      | *nerdfont-59328* *nerdfont-ue7c0* *nerdfont-*
| 59329   | \ue7c1  |      | *nerdfont-59329* *nerdfont-ue7c1* *nerdfont-*
| 59330   | \ue7c2  |      | *nerdfont-59330* *nerdfont-ue7c2* *nerdfont-*
| 59331   | \ue7c3  |      | *nerdfont-59331* *nerdfont-ue7c3* *nerdfont-*
| 59332   | \ue7c4  |      | *nerdfont-59332* *nerdfont-ue7c4* *nerdfont-*
| 59333   | \ue7c5  |      | *nerdfont-59333* *nerdfont-ue7c5* *nerdfont-*

vim: ft=help
