*font-awesome-extensions.txt*  Nerd Font Cheatsheets - Font Awesome Extensions

===============================================================================
													  *font-awesome-extension*
Nerd Font - Font Awesome Extensions ~

| Decimal | Unicode | Glyph |
| 58000   | \ue290  |      | *nerdfont-58000* *nerdfont-ue290* *nerdfont-*
| 58001   | \ue291  |      | *nerdfont-58001* *nerdfont-ue291* *nerdfont-*
| 58002   | \ue292  |      | *nerdfont-58002* *nerdfont-ue292* *nerdfont-*
| 58003   | \ue293  |      | *nerdfont-58003* *nerdfont-ue293* *nerdfont-*
| 58004   | \ue294  |      | *nerdfont-58004* *nerdfont-ue294* *nerdfont-*
| 58005   | \ue295  |      | *nerdfont-58005* *nerdfont-ue295* *nerdfont-*
| 58006   | \ue296  |      | *nerdfont-58006* *nerdfont-ue296* *nerdfont-*
| 58007   | \ue297  |      | *nerdfont-58007* *nerdfont-ue297* *nerdfont-*
| 58008   | \ue298  |      | *nerdfont-58008* *nerdfont-ue298* *nerdfont-*
| 58009   | \ue299  |      | *nerdfont-58009* *nerdfont-ue299* *nerdfont-*
| 58010   | \ue29a  |      | *nerdfont-58010* *nerdfont-ue29a* *nerdfont-*
| 58011   | \ue29b  |      | *nerdfont-58011* *nerdfont-ue29b* *nerdfont-*
| 58012   | \ue29c  |      | *nerdfont-58012* *nerdfont-ue29c* *nerdfont-*
| 58013   | \ue29d  |      | *nerdfont-58013* *nerdfont-ue29d* *nerdfont-*
| 58014   | \ue29e  |      | *nerdfont-58014* *nerdfont-ue29e* *nerdfont-*
| 58015   | \ue29f  |      | *nerdfont-58015* *nerdfont-ue29f* *nerdfont-*
| 58016   | \ue2a0  |      | *nerdfont-58016* *nerdfont-ue2a0* *nerdfont-*
| 58017   | \ue2a1  |      | *nerdfont-58017* *nerdfont-ue2a1* *nerdfont-*
| 58018   | \ue2a2  |      | *nerdfont-58018* *nerdfont-ue2a2* *nerdfont-*
| 58019   | \ue2a3  |      | *nerdfont-58019* *nerdfont-ue2a3* *nerdfont-*
| 58020   | \ue2a4  |      | *nerdfont-58020* *nerdfont-ue2a4* *nerdfont-*
| 58021   | \ue2a5  |      | *nerdfont-58021* *nerdfont-ue2a5* *nerdfont-*
| 58022   | \ue2a6  |      | *nerdfont-58022* *nerdfont-ue2a6* *nerdfont-*
| 58023   | \ue2a7  |      | *nerdfont-58023* *nerdfont-ue2a7* *nerdfont-*
| 58024   | \ue2a8  |      | *nerdfont-58024* *nerdfont-ue2a8* *nerdfont-*
| 58025   | \ue2a9  |      | *nerdfont-58025* *nerdfont-ue2a9* *nerdfont-*

vim: ft=help
