*iec-power-symbols.txt*  Nerd Font Cheatsheets - IEC Power Symbols

===============================================================================
														   *iec-power-symbols*
Nerd Font - IEC Power Symbols ~

| Decimal | Unicode | Glyph |
| 09388   | \u24ac  | ⒬     | *nerdfont-09388* *nerdfont-u24ac* *nerdfont-⒬*
| 09389   | \u24ad  | ⒭     | *nerdfont-09389* *nerdfont-u24ad* *nerdfont-⒭*
| 09390   | \u24ae  | ⒮     | *nerdfont-09390* *nerdfont-u24ae* *nerdfont-⒮*
| 09391   | \u24af  | ⒯     | *nerdfont-09391* *nerdfont-u24af* *nerdfont-⒯*
| 09392   | \u24b0  | ⒰     | *nerdfont-09392* *nerdfont-u24b0* *nerdfont-⒰*
| 09393   | \u24b1  | ⒱     | *nerdfont-09393* *nerdfont-u24b1* *nerdfont-⒱*
| 09394   | \u24b2  | ⒲     | *nerdfont-09394* *nerdfont-u24b2* *nerdfont-⒲*
| 09395   | \u24b3  | ⒳     | *nerdfont-09395* *nerdfont-u24b3* *nerdfont-⒳*
| 09396   | \u24b4  | ⒴     | *nerdfont-09396* *nerdfont-u24b4* *nerdfont-⒴*
| 09397   | \u24b5  | ⒵     | *nerdfont-09397* *nerdfont-u24b5* *nerdfont-⒵*
| 09398   | \u24b6  | Ⓐ     | *nerdfont-09398* *nerdfont-u24b6* *nerdfont-Ⓐ*
| 09399   | \u24b7  | Ⓑ     | *nerdfont-09399* *nerdfont-u24b7* *nerdfont-Ⓑ*
| 09400   | \u24b8  | Ⓒ     | *nerdfont-09400* *nerdfont-u24b8* *nerdfont-Ⓒ*
| 09401   | \u24b9  | Ⓓ     | *nerdfont-09401* *nerdfont-u24b9* *nerdfont-Ⓓ*
| 09402   | \u24ba  | Ⓔ     | *nerdfont-09402* *nerdfont-u24ba* *nerdfont-Ⓔ*
| 09403   | \u24bb  | Ⓕ     | *nerdfont-09403* *nerdfont-u24bb* *nerdfont-Ⓕ*
| 09404   | \u24bc  | Ⓖ     | *nerdfont-09404* *nerdfont-u24bc* *nerdfont-Ⓖ*
| 09405   | \u24bd  | Ⓗ     | *nerdfont-09405* *nerdfont-u24bd* *nerdfont-Ⓗ*
| 09406   | \u24be  | Ⓘ     | *nerdfont-09406* *nerdfont-u24be* *nerdfont-Ⓘ*
| 09407   | \u24bf  | Ⓙ     | *nerdfont-09407* *nerdfont-u24bf* *nerdfont-Ⓙ*
| 09408   | \u24c0  | Ⓚ     | *nerdfont-09408* *nerdfont-u24c0* *nerdfont-Ⓚ*
| 09409   | \u24c1  | Ⓛ     | *nerdfont-09409* *nerdfont-u24c1* *nerdfont-Ⓛ*
| 09410   | \u24c2  | Ⓜ     | *nerdfont-09410* *nerdfont-u24c2* *nerdfont-Ⓜ*
| 09411   | \u24c3  | Ⓝ     | *nerdfont-09411* *nerdfont-u24c3* *nerdfont-Ⓝ*
| 09412   | \u24c4  | Ⓞ     | *nerdfont-09412* *nerdfont-u24c4* *nerdfont-Ⓞ*
| 09413   | \u24c5  | Ⓟ     | *nerdfont-09413* *nerdfont-u24c5* *nerdfont-Ⓟ*
| 09414   | \u24c6  | Ⓠ     | *nerdfont-09414* *nerdfont-u24c6* *nerdfont-Ⓠ*
| 09415   | \u24c7  | Ⓡ     | *nerdfont-09415* *nerdfont-u24c7* *nerdfont-Ⓡ*
| 09416   | \u24c8  | Ⓢ     | *nerdfont-09416* *nerdfont-u24c8* *nerdfont-Ⓢ*
| 09417   | \u24c9  | Ⓣ     | *nerdfont-09417* *nerdfont-u24c9* *nerdfont-Ⓣ*
| 09418   | \u24ca  | Ⓤ     | *nerdfont-09418* *nerdfont-u24ca* *nerdfont-Ⓤ*
| 09419   | \u24cb  | Ⓥ     | *nerdfont-09419* *nerdfont-u24cb* *nerdfont-Ⓥ*
| 09420   | \u24cc  | Ⓦ     | *nerdfont-09420* *nerdfont-u24cc* *nerdfont-Ⓦ*
| 09421   | \u24cd  | Ⓧ     | *nerdfont-09421* *nerdfont-u24cd* *nerdfont-Ⓧ*
| 09422   | \u24ce  | Ⓨ     | *nerdfont-09422* *nerdfont-u24ce* *nerdfont-Ⓨ*
| 09423   | \u24cf  | Ⓩ     | *nerdfont-09423* *nerdfont-u24cf* *nerdfont-Ⓩ*
| 09424   | \u24d0  | ⓐ     | *nerdfont-09424* *nerdfont-u24d0* *nerdfont-ⓐ*
| 09425   | \u24d1  | ⓑ     | *nerdfont-09425* *nerdfont-u24d1* *nerdfont-ⓑ*
| 09426   | \u24d2  | ⓒ     | *nerdfont-09426* *nerdfont-u24d2* *nerdfont-ⓒ*
| 09427   | \u24d3  | ⓓ     | *nerdfont-09427* *nerdfont-u24d3* *nerdfont-ⓓ*
| 09428   | \u24d4  | ⓔ     | *nerdfont-09428* *nerdfont-u24d4* *nerdfont-ⓔ*
| 09429   | \u24d5  | ⓕ     | *nerdfont-09429* *nerdfont-u24d5* *nerdfont-ⓕ*
| 09430   | \u24d6  | ⓖ     | *nerdfont-09430* *nerdfont-u24d6* *nerdfont-ⓖ*
| 09431   | \u24d7  | ⓗ     | *nerdfont-09431* *nerdfont-u24d7* *nerdfont-ⓗ*
| 09432   | \u24d8  | ⓘ     | *nerdfont-09432* *nerdfont-u24d8* *nerdfont-ⓘ*
| 09433   | \u24d9  | ⓙ     | *nerdfont-09433* *nerdfont-u24d9* *nerdfont-ⓙ*
| 09434   | \u24da  | ⓚ     | *nerdfont-09434* *nerdfont-u24da* *nerdfont-ⓚ*
| 09435   | \u24db  | ⓛ     | *nerdfont-09435* *nerdfont-u24db* *nerdfont-ⓛ*
| 09436   | \u24dc  | ⓜ     | *nerdfont-09436* *nerdfont-u24dc* *nerdfont-ⓜ*
| 09437   | \u24dd  | ⓝ     | *nerdfont-09437* *nerdfont-u24dd* *nerdfont-ⓝ*
| 09438   | \u24de  | ⓞ     | *nerdfont-09438* *nerdfont-u24de* *nerdfont-ⓞ*
| 09439   | \u24df  | ⓟ     | *nerdfont-09439* *nerdfont-u24df* *nerdfont-ⓟ*
| 09440   | \u24e0  | ⓠ     | *nerdfont-09440* *nerdfont-u24e0* *nerdfont-ⓠ*
| 09441   | \u24e1  | ⓡ     | *nerdfont-09441* *nerdfont-u24e1* *nerdfont-ⓡ*
| 09442   | \u24e2  | ⓢ     | *nerdfont-09442* *nerdfont-u24e2* *nerdfont-ⓢ*
| 09443   | \u24e3  | ⓣ     | *nerdfont-09443* *nerdfont-u24e3* *nerdfont-ⓣ*
| 09444   | \u24e4  | ⓤ     | *nerdfont-09444* *nerdfont-u24e4* *nerdfont-ⓤ*
| 09445   | \u24e5  | ⓥ     | *nerdfont-09445* *nerdfont-u24e5* *nerdfont-ⓥ*
| 09446   | \u24e6  | ⓦ     | *nerdfont-09446* *nerdfont-u24e6* *nerdfont-ⓦ*
| 09447   | \u24e7  | ⓧ     | *nerdfont-09447* *nerdfont-u24e7* *nerdfont-ⓧ*
| 09448   | \u24e8  | ⓨ     | *nerdfont-09448* *nerdfont-u24e8* *nerdfont-ⓨ*
| 09449   | \u24e9  | ⓩ     | *nerdfont-09449* *nerdfont-u24e9* *nerdfont-ⓩ*
| 09450   | \u24ea  | ⓪     | *nerdfont-09450* *nerdfont-u24ea* *nerdfont-⓪*
| 09451   | \u24eb  | ⓫     | *nerdfont-09451* *nerdfont-u24eb* *nerdfont-⓫*
| 09452   | \u24ec  | ⓬     | *nerdfont-09452* *nerdfont-u24ec* *nerdfont-⓬*
| 09453   | \u24ed  | ⓭     | *nerdfont-09453* *nerdfont-u24ed* *nerdfont-⓭*
| 09454   | \u24ee  | ⓮     | *nerdfont-09454* *nerdfont-u24ee* *nerdfont-⓮*
| 09455   | \u24ef  | ⓯     | *nerdfont-09455* *nerdfont-u24ef* *nerdfont-⓯*
| 09456   | \u24f0  | ⓰     | *nerdfont-09456* *nerdfont-u24f0* *nerdfont-⓰*
| 09457   | \u24f1  | ⓱     | *nerdfont-09457* *nerdfont-u24f1* *nerdfont-⓱*
| 09458   | \u24f2  | ⓲     | *nerdfont-09458* *nerdfont-u24f2* *nerdfont-⓲*
| 09459   | \u24f3  | ⓳     | *nerdfont-09459* *nerdfont-u24f3* *nerdfont-⓳*
| 09460   | \u24f4  | ⓴     | *nerdfont-09460* *nerdfont-u24f4* *nerdfont-⓴*
| 09461   | \u24f5  | ⓵     | *nerdfont-09461* *nerdfont-u24f5* *nerdfont-⓵*
| 09462   | \u24f6  | ⓶     | *nerdfont-09462* *nerdfont-u24f6* *nerdfont-⓶*
| 09463   | \u24f7  | ⓷     | *nerdfont-09463* *nerdfont-u24f7* *nerdfont-⓷*
| 09464   | \u24f8  | ⓸     | *nerdfont-09464* *nerdfont-u24f8* *nerdfont-⓸*
| 09465   | \u24f9  | ⓹     | *nerdfont-09465* *nerdfont-u24f9* *nerdfont-⓹*
| 09466   | \u24fa  | ⓺     | *nerdfont-09466* *nerdfont-u24fa* *nerdfont-⓺*
| 09467   | \u24fb  | ⓻     | *nerdfont-09467* *nerdfont-u24fb* *nerdfont-⓻*
| 09468   | \u24fc  | ⓼     | *nerdfont-09468* *nerdfont-u24fc* *nerdfont-⓼*
| 09469   | \u24fd  | ⓽     | *nerdfont-09469* *nerdfont-u24fd* *nerdfont-⓽*
| 09470   | \u24fe  | ⓾     | *nerdfont-09470* *nerdfont-u24fe* *nerdfont-⓾*
| 09471   | \u24ff  | ⓿     | *nerdfont-09471* *nerdfont-u24ff* *nerdfont-⓿*
| 09472   | \u2500  | ─     | *nerdfont-09472* *nerdfont-u2500* *nerdfont-─*
| 09473   | \u2501  | ━     | *nerdfont-09473* *nerdfont-u2501* *nerdfont-━*
| 09474   | \u2502  | │     | *nerdfont-09474* *nerdfont-u2502* *nerdfont-│*
| 09475   | \u2503  | ┃     | *nerdfont-09475* *nerdfont-u2503* *nerdfont-┃*
| 09476   | \u2504  | ┄     | *nerdfont-09476* *nerdfont-u2504* *nerdfont-┄*
| 09477   | \u2505  | ┅     | *nerdfont-09477* *nerdfont-u2505* *nerdfont-┅*
| 09478   | \u2506  | ┆     | *nerdfont-09478* *nerdfont-u2506* *nerdfont-┆*
| 09479   | \u2507  | ┇     | *nerdfont-09479* *nerdfont-u2507* *nerdfont-┇*
| 09480   | \u2508  | ┈     | *nerdfont-09480* *nerdfont-u2508* *nerdfont-┈*
| 09481   | \u2509  | ┉     | *nerdfont-09481* *nerdfont-u2509* *nerdfont-┉*
| 09482   | \u250a  | ┊     | *nerdfont-09482* *nerdfont-u250a* *nerdfont-┊*
| 09483   | \u250b  | ┋     | *nerdfont-09483* *nerdfont-u250b* *nerdfont-┋*
| 09484   | \u250c  | ┌     | *nerdfont-09484* *nerdfont-u250c* *nerdfont-┌*
| 09485   | \u250d  | ┍     | *nerdfont-09485* *nerdfont-u250d* *nerdfont-┍*
| 09486   | \u250e  | ┎     | *nerdfont-09486* *nerdfont-u250e* *nerdfont-┎*
| 09487   | \u250f  | ┏     | *nerdfont-09487* *nerdfont-u250f* *nerdfont-┏*
| 09488   | \u2510  | ┐     | *nerdfont-09488* *nerdfont-u2510* *nerdfont-┐*
| 09489   | \u2511  | ┑     | *nerdfont-09489* *nerdfont-u2511* *nerdfont-┑*
| 09490   | \u2512  | ┒     | *nerdfont-09490* *nerdfont-u2512* *nerdfont-┒*
| 09491   | \u2513  | ┓     | *nerdfont-09491* *nerdfont-u2513* *nerdfont-┓*
| 09492   | \u2514  | └     | *nerdfont-09492* *nerdfont-u2514* *nerdfont-└*
| 09493   | \u2515  | ┕     | *nerdfont-09493* *nerdfont-u2515* *nerdfont-┕*
| 09494   | \u2516  | ┖     | *nerdfont-09494* *nerdfont-u2516* *nerdfont-┖*
| 09495   | \u2517  | ┗     | *nerdfont-09495* *nerdfont-u2517* *nerdfont-┗*
| 09496   | \u2518  | ┘     | *nerdfont-09496* *nerdfont-u2518* *nerdfont-┘*
| 09497   | \u2519  | ┙     | *nerdfont-09497* *nerdfont-u2519* *nerdfont-┙*
| 09498   | \u251a  | ┚     | *nerdfont-09498* *nerdfont-u251a* *nerdfont-┚*
| 09499   | \u251b  | ┛     | *nerdfont-09499* *nerdfont-u251b* *nerdfont-┛*
| 09500   | \u251c  | ├     | *nerdfont-09500* *nerdfont-u251c* *nerdfont-├*
| 09501   | \u251d  | ┝     | *nerdfont-09501* *nerdfont-u251d* *nerdfont-┝*
| 09502   | \u251e  | ┞     | *nerdfont-09502* *nerdfont-u251e* *nerdfont-┞*
| 09503   | \u251f  | ┟     | *nerdfont-09503* *nerdfont-u251f* *nerdfont-┟*
| 09504   | \u2520  | ┠     | *nerdfont-09504* *nerdfont-u2520* *nerdfont-┠*
| 09505   | \u2521  | ┡     | *nerdfont-09505* *nerdfont-u2521* *nerdfont-┡*
| 09506   | \u2522  | ┢     | *nerdfont-09506* *nerdfont-u2522* *nerdfont-┢*
| 09507   | \u2523  | ┣     | *nerdfont-09507* *nerdfont-u2523* *nerdfont-┣*
| 09508   | \u2524  | ┤     | *nerdfont-09508* *nerdfont-u2524* *nerdfont-┤*
| 09509   | \u2525  | ┥     | *nerdfont-09509* *nerdfont-u2525* *nerdfont-┥*
| 09510   | \u2526  | ┦     | *nerdfont-09510* *nerdfont-u2526* *nerdfont-┦*
| 09511   | \u2527  | ┧     | *nerdfont-09511* *nerdfont-u2527* *nerdfont-┧*
| 09512   | \u2528  | ┨     | *nerdfont-09512* *nerdfont-u2528* *nerdfont-┨*
| 09513   | \u2529  | ┩     | *nerdfont-09513* *nerdfont-u2529* *nerdfont-┩*
| 09514   | \u252a  | ┪     | *nerdfont-09514* *nerdfont-u252a* *nerdfont-┪*
| 09515   | \u252b  | ┫     | *nerdfont-09515* *nerdfont-u252b* *nerdfont-┫*
| 09516   | \u252c  | ┬     | *nerdfont-09516* *nerdfont-u252c* *nerdfont-┬*
| 09517   | \u252d  | ┭     | *nerdfont-09517* *nerdfont-u252d* *nerdfont-┭*
| 09518   | \u252e  | ┮     | *nerdfont-09518* *nerdfont-u252e* *nerdfont-┮*
| 09519   | \u252f  | ┯     | *nerdfont-09519* *nerdfont-u252f* *nerdfont-┯*
| 09520   | \u2530  | ┰     | *nerdfont-09520* *nerdfont-u2530* *nerdfont-┰*
